time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/03/24/13:38:14.203553,171,1679679494,202916383,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173814.0,19,T
2023/03/24/13:38:15.202940,172,1679679495,202071666,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173815.0,19,T
2023/03/24/13:38:16.206838,173,1679679496,203009605,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173816.0,19,T
2023/03/24/13:38:17.203583,174,1679679497,202655315,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173817.0,19,T
2023/03/24/13:38:18.202854,175,1679679498,202239990,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173818.0,19,T
2023/03/24/13:38:19.205387,176,1679679499,204546928,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173819.0,19,T
2023/03/24/13:38:20.203798,177,1679679500,203127861,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173820.0,19,T
2023/03/24/13:38:21.202543,178,1679679501,202147006,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173821.0,19,T
2023/03/24/13:38:22.203012,179,1679679502,202259778,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173822.0,19,T
2023/03/24/13:38:23.203295,180,1679679503,202933311,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173823.0,19,T
2023/03/24/13:38:24.203664,181,1679679504,203111648,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173824.0,19,T
2023/03/24/13:38:25.204080,182,1679679505,203366518,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173825.0,19,T
2023/03/24/13:38:26.203583,183,1679679506,202820301,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173826.0,19,T
2023/03/24/13:38:27.203617,184,1679679507,203172206,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173827.0,19,T
2023/03/24/13:38:28.203679,185,1679679508,203075885,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173828.0,19,T
2023/03/24/13:38:29.203735,186,1679679509,202865362,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173829.0,19,T
2023/03/24/13:38:30.202669,187,1679679510,202233314,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173830.0,19,T
2023/03/24/13:38:31.204783,188,1679679511,204127788,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173831.0,19,T
2023/03/24/13:38:32.204311,189,1679679512,203395366,GPS1_FRAME,42.33941,-71.090485,17.9,1.2,327790.45731852885,4689578.079128081,173832.0,19,T
2023/03/24/13:38:33.201519,190,1679679513,200798988,GPS1_FRAME,42.33941166666666,-71.09048833333334,17.7,1.2,327790.1872643463,4689578.27094993,173833.0,19,T
2023/03/24/13:38:34.201865,191,1679679514,200900077,GPS1_FRAME,42.33942,-71.0905,18.1,1.2,327789.2488998088,4689579.219932552,173834.0,19,T
2023/03/24/13:38:35.203633,192,1679679515,202954769,GPS1_FRAME,42.339436666666664,-71.09051166666667,18.1,1.2,327788.3332856121,4689581.094268868,173835.0,19,T
2023/03/24/13:38:36.203272,193,1679679516,202403783,GPS1_FRAME,42.339461666666665,-71.09052833333334,18.0,1.2,327787.0285162775,4689583.904085782,173836.0,19,T
2023/03/24/13:38:37.204780,194,1679679517,204088926,GPS1_FRAME,42.33949333333333,-71.090545,17.8,1.2,327785.7419484415,4689587.454185836,173837.0,19,T
2023/03/24/13:38:38.202791,195,1679679518,202172994,GPS1_FRAME,42.33953,-71.09056166666667,17.7,1.2,327784.4690324388,4689591.559498329,173838.0,19,T
2023/03/24/13:38:39.204391,196,1679679519,203714132,GPS1_FRAME,42.33956666666667,-71.09057833333334,17.4,1.2,327783.19611810334,4689595.664811119,173839.0,19,T
2023/03/24/13:38:40.204339,197,1679679520,203283309,GPS1_FRAME,42.3396,-71.09059166666667,17.1,1.2,327782.1887083292,4689599.3932312885,173840.0,19,T
